beer_name,brewery_name,beer_type,beer_abv,beer_ibu,comment,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,checkin_url,beer_url,brewery_url,brewery_country,brewery_city,brewery_state,flavor_profiles,purchase_venue,serving_type,checkin_id,bid,brewery_id,photo_url,global_rating_score,global_weighted_rating_score,tagged_friends,total_toasts,total_comments
Deuchars IPA,Caledonian Brewing Co.,IPA - English,3.8,0,,Alexandra Palace,London,Greater London,United Kingdom,51.5941,-0.130712,3.5,12/01/2015 18:51,https://untappd.com/c/146124314,https://untappd.com/beer/14649,https://untappd.com/brewery/2071,Scotland,Edinburgh,City of Edinburgh,,,,146124314,14649,2071,,3.12,3.13,,0,0
Guid Ale,Isle of Arran Brewery Co.,Golden Ale,3.8,0,,,,,,,,3.5,25/01/2015 20:00,https://untappd.com/c/149621643,https://untappd.com/beer/193643,https://untappd.com/brewery/4393,Scotland,Brodick,North Ayrshire,,,,149621643,193643,4393,https://untappd.s3.amazonaws.com/photo/2015_01_25/6102cb3a799cf0e4c55c21d1ced15e26_raw.jpg,3.21,3.28,,0,0
Dublin Porter,Guinness,Porter - Other,3.8,30,,The King James (Wetherspoon),Cheshunt,Hertfordshire,United Kingdom,51.7009,-0.0341254,3.5,04/02/2015 23:02,https://untappd.com/c/152154127,https://untappd.com/beer/800412,https://untappd.com/brewery/49,Ireland,Saint James' Gate,Leinster,,,,152154127,800412,49,https://untappd.s3.amazonaws.com/photo/2015_02_04/c46ba4f4255c5549d0946eafdc7ff59e_raw.jpg,3.32,3.32,,0,0
Harvest Pale,Castle Rock Brewery,Blonde Ale,3.8,0,Cask,,,,,,,4,26/04/2015 15:17,https://untappd.com/c/176722429,https://untappd.com/beer/6215,https://untappd.com/brewery/1460,England,Nottingham,City of Nottingham,,,,176722429,6215,1460,,3.42,3.43,,0,0
No1 Pale Ale,McMullen & Sons (Mac's),Pale Ale - English,3.8,0,,The Jolly Farmers,Enfield,Greater London,United Kingdom,51.6548,-0.107972,3,12/06/2015 23:54,https://untappd.com/c/192201328,https://untappd.com/beer/408947,https://untappd.com/brewery/843,England,Hertford,Hertfordshire,,,,192201328,408947,843,https://untappd.s3.amazonaws.com/photo/2015_06_12/09088d67b5570400c5e347762df64640_raw.jpg,2.96,3.5,,0,0
Ashburnham,Pig & Porter,Pale Ale - English,3.8,35,,10.50 from Victoria,Kent,Kent,United Kingdom,51.3969,0.495299,2,14/06/2015 00:19,https://untappd.com/c/192791475,https://untappd.com/beer/306115,https://untappd.com/brewery/52560,England,Royal Tunbridge Wells,Kent,,,,192791475,306115,52560,,3.34,3.44,,0,0
Krušovice Černé,Heineken Česká Republika,Lager - Dark,3.8,19,,,,,,,,,02/07/2015 20:58,https://untappd.com/c/198938828,https://untappd.com/beer/23586,https://untappd.com/brewery/9774,Czech Republic,Krušovice,Střední Čechy,,,,198938828,23586,9774,,3.16,3.16,,0,0
Oliver's Island,Fuller's Brewery,Golden Ale,3.8,4,Refreshing and smooth,Duke Of Wellington,Epping,Essex,United Kingdom,51.6962,0.107336,3.5,09/07/2015 20:58,https://untappd.com/c/201466631,https://untappd.com/beer/858244,https://untappd.com/brewery/3296,England,London,Greater London,,,,201466631,858244,3296,https://untappd.s3.amazonaws.com/photo/2015_07_09/9492234b06a5a1382ee1e19ee1219890_raw.jpg,3.25,3.26,,0,0
Fruitesse,Brouwerij Liefmans,Fruit Beer,3.8,10,Draft,,,,,,,3.75,14/07/2015 21:52,https://untappd.com/c/203340182,https://untappd.com/beer/9085,https://untappd.com/brewery/287,Belgium,Oudenaarde,Vlaanderen,,,,203340182,9085,287,,3.34,3.34,,0,0
Essex Boys,Crouch Vale,English Bitter,3.8,0,,,,,,,,3.5,29/08/2015 22:25,https://untappd.com/c/219656239,https://untappd.com/beer/121950,https://untappd.com/brewery/3598,England,South Woodham Ferrers,Essex,,,,219656239,121950,3598,https://untappd.s3.amazonaws.com/photo/2015_08_29/08cab438afea8b3d290c6e2d3a4eb690_raw.jpg,3.38,3.46,,0,0
Quintessential British Pale Ale,Fuller's Brewery,Pale Ale - English,3.8,0,,Jacobs Inn,Oxford,Oxfordshire,United Kingdom,51.7835,-1.29343,4,03/09/2015 22:39,https://untappd.com/c/221061096,https://untappd.com/beer/1073567,https://untappd.com/brewery/3296,England,London,Greater London,,,,221061096,1073567,3296,https://untappd.s3.amazonaws.com/photo/2015_09_03/e667eb6e2cdf5d12ef5666544078926b_raw.jpg,3.3,3.39,,0,0
Acer,Bristol Beer Factory,Pale Ale - English,3.8,0,,The Ranelagh,Bounds Green,Greater London,United Kingdom,51.6087,-0.12729,3.5,13/12/2015 20:25,https://untappd.com/c/255263282,https://untappd.com/beer/53182,https://untappd.com/brewery/3503,England,Bristol,City of Bristol,,,,255263282,53182,3503,https://untappd.s3.amazonaws.com/photo/2015_12_13/c64b3340893fe2268c8220134ac79333_raw.jpg,3.45,3.49,,0,0
Beatnik,The Gipsy Hill Brewing Co.,Pale Ale - American,3.8,0,,,,,,,,3.5,24/12/2015 18:45,https://untappd.com/c/258838458,https://untappd.com/beer/800001,https://untappd.com/brewery/122142,England,City of London,London,,,,258838458,800001,122142,https://untappd.s3.amazonaws.com/photo/2015_12_24/5c8a91f25b580e449f273f0a64c254af_raw.jpg,3.45,3.46,,1,0
Amber Bitter,Banks's Beer,English Bitter,3.8,0,,High Halstow,,,United Kingdom,51.4487,0.560946,3,01/01/2016 19:37,https://untappd.com/c/262708926,https://untappd.com/beer/21345,https://untappd.com/brewery/11798,England,Wolverhampton,West Midlands Combined Authority,,,,262708926,21345,11798,https://untappd.s3.amazonaws.com/photo/2016_01_01/bd8199a11a293036f452881220ee96bc_raw.jpg,3.13,3.14,,1,0
Lincoln Imperial Ale,Wentworth Brewery Limited,English Bitter,3.8,0,,Wig and Mitre,Lincoln,Lincolnshire,United Kingdom,53.2342,-0.53886,4,05/02/2016 16:11,https://untappd.com/c/273814959,https://untappd.com/beer/715636,https://untappd.com/brewery/7429,England,Wentworth,South Yorkshire,,,,273814959,715636,7429,https://untappd.s3.amazonaws.com/photo/2016_02_05/2153c39f47accbf38f26e7420a84ea2c_raw.jpg,3.18,3.48,,0,0
Hophead,Dark Star Brewing Co.,Pale Ale - English,3.8,50,,,,,,,,3.75,08/02/2016 18:30,https://untappd.com/c/275514193,https://untappd.com/beer/37132,https://untappd.com/brewery/1513,England,Partridge Green,West Sussex,,,,275514193,37132,1513,https://untappd.s3.amazonaws.com/photo/2016_02_08/f5f3bcee4e0d177e03bed158bf67e590_raw.jpg,3.49,3.5,,0,0
Wherry,Woodforde's Brewery,English Bitter,3.8,0,,The Prince Of Wales,Hertfordshire,Hertfordshire,United Kingdom,51.6421,-0.163178,3.5,24/03/2016 12:25,https://untappd.com/c/291314722,https://untappd.com/beer/18968,https://untappd.com/brewery/1373,England,"Woodbastwick, Norwich",Norfolk,,,,291314722,18968,1373,https://untappd.s3.amazonaws.com/photo/2016_03_24/41a303644fc5ee6d53927b0a6167a4bd_raw.jpg,3.36,3.37,,0,0
